N,P,K,temperature,humidity,ph,rainfall,label
27.22,52.29,41.9,31.09,45.32,6.18,63.16,Groundnut
31.7,51.73,20.54,25.63,57.79,7.45,34.05,Toor Dal
88.29,64.43,82.15,25.99,77.27,5.85,168.03,Banana
17.12,28.94,82.93,27.91,80.87,6.55,116.62,Coconut
76.87,45.11,28.56,26.24,57.99,7.02,47.51,Sunflower
20.12,40.78,34.81,27.07,56.61,6.2,36.99,Toor Dal
32.76,34.43,30.17,33.59,68.14,6.43,52.9,Sesame
42.62,21.34,31.98,29.47,63.86,6.05,56.09,Ragi
73.07,54.03,40.69,25.26,91.64,6.0,162.29,Rice
49.34,24.92,34.95,29.39,55.58,7.1,86.35,Ragi
92.85,76.48,57.99,24.54,77.28,6.03,1651.25,Sugarcane
68.97,44.17,73.66,23.74,79.36,5.62,177.94,Turmeric
36.17,29.08,26.56,26.51,41.85,6.6,75.27,Ragi
79.47,29.75,94.19,28.5,88.94,6.3,154.23,Arecanut
28.42,48.34,49.47,30.8,53.97,5.7,72.51,Groundnut
26.73,57.93,31.16,30.93,66.52,7.92,44.94,Toor Dal
46.95,30.61,37.8,23.46,68.99,6.37,95.54,Ragi
95.79,76.7,78.27,24.7,85.78,6.64,1794.23,Sugarcane
109.41,73.95,69.99,28.69,86.45,6.55,1690.92,Sugarcane
30.64,62.2,26.4,21.04,60.69,7.4,69.81,Bengalgram
67.74,45.86,29.59,23.06,41.15,7.49,86.45,Sunflower
39.66,38.79,105.68,26.01,76.69,6.06,125.48,Coconut
82.64,63.98,63.07,19.11,69.55,6.91,85.01,Onion
38.94,34.1,31.61,29.84,64.14,6.48,46.48,Sesame
95.74,64.48,89.79,26.33,76.72,6.96,72.45,Tomato
60.61,19.84,39.37,24.94,74.07,6.65,96.51,Maize
28.53,44.62,32.26,28.91,69.69,6.11,55.74,Toor Dal
65.37,35.74,105.89,25.7,81.3,5.82,195.79,Arecanut
115.46,80.85,68.19,20.18,74.08,6.06,98.43,Tomato
34.88,17.29,34.53,27.57,43.91,6.68,38.13,Millet
43.37,44.74,25.15,24.86,40.93,6.03,34.11,Safflower
30.03,52.63,36.29,24.28,52.42,6.25,49.51,Groundnut
48.8,50.39,31.28,26.96,83.43,7.31,129.8,Cotton
120.6,73.33,59.19,23.24,86.37,7.27,1416.56,Sugarcane
21.06,42.01,26.36,29.87,47.46,7.74,35.38,Toor Dal
48.22,30.07,57.93,27.25,81.79,5.94,127.44,Turmeric
99.87,86.19,51.46,27.88,79.51,6.13,1628.05,Sugarcane
76.75,27.63,31.81,23.13,70.83,5.56,92.23,Maize
54.04,70.9,27.44,23.07,74.31,6.35,131.54,Cotton
27.29,74.23,25.37,24.53,53.8,7.28,44.57,Bengalgram
52.1,31.37,66.23,27.27,71.94,5.73,178.45,Turmeric
19.57,30.31,112.01,26.62,76.91,6.76,155.02,Coconut
93.9,50.09,47.11,25.11,85.72,7.45,206.78,Rice
50.47,41.05,63.49,27.05,90.79,5.56,186.78,Turmeric
58.7,33.79,34.26,29.08,42.8,7.08,84.22,Sunflower
28.1,24.28,26.54,23.83,47.29,6.57,45.75,Safflower
15.56,56.13,32.23,24.79,73.55,5.54,113.48,Soybean
31.92,78.55,34.13,24.78,59.01,6.25,103.71,Soybean
86.28,43.32,45.73,21.83,51.72,7.43,110.6,Wheat
28.21,52.02,30.26,29.59,69.94,6.52,46.74,Toor Dal
97.88,37.14,42.29,20.48,90.21,7.03,169.26,Rice
18.63,44.49,24.1,25.2,62.11,7.68,68.94,Toor Dal
46.55,38.83,37.76,29.66,42.4,6.89,24.89,Safflower
30.74,40.58,28.01,26.23,52.67,7.38,35.09,Toor Dal
39.14,27.33,35.11,23.93,42.09,6.01,52.3,Safflower
59.96,31.42,81.53,28.04,74.2,6.35,167.59,Arecanut
111.43,65.57,47.2,23.57,78.92,7.47,95.74,Chilli
60.91,37.61,26.94,22.11,56.55,7.29,56.56,Sunflower
28.09,44.78,45.46,30.74,62.03,6.38,47.8,Groundnut
32.14,51.18,29.52,26.88,55.24,6.04,61.21,Toor Dal
22.77,35.88,30.04,29.0,49.75,7.45,38.89,Toor Dal
75.6,54.3,43.26,23.94,64.83,6.08,46.89,Sunflower
69.68,38.01,32.81,27.77,63.57,6.72,43.37,Sunflower
61.82,33.39,27.5,25.5,78.66,5.94,71.58,Maize
29.36,41.3,108.69,30.81,70.34,5.66,120.63,Coconut
122.0,104.5,60.81,27.64,83.1,5.77,1896.98,Sugarcane
31.61,71.49,25.72,27.64,52.83,6.51,68.79,Bengalgram
55.59,79.43,25.22,27.35,73.37,7.36,116.82,Cotton
64.56,41.19,96.98,27.37,92.56,5.93,248.39,Arecanut
75.72,40.51,70.15,27.82,56.48,6.37,58.43,Onion
20.33,52.5,48.09,29.17,55.46,6.91,59.63,Groundnut
111.13,62.36,94.45,27.47,76.8,6.91,144.05,Banana
18.83,33.5,96.48,25.52,83.27,5.61,130.84,Coconut
65.63,31.09,73.97,24.99,81.82,6.64,154.96,Turmeric
58.77,19.05,26.76,29.19,63.59,6.93,75.32,Maize
27.87,25.42,26.55,22.2,51.83,7.88,30.7,Safflower
30.77,38.35,34.83,32.53,67.74,6.83,35.64,Sesame
23.55,38.05,107.58,26.36,94.78,6.64,135.14,Coconut
64.56,50.38,68.31,24.18,58.96,6.55,73.48,Onion
56.64,22.68,35.76,26.39,63.13,7.49,77.14,Maize
39.63,22.02,24.38,24.73,40.64,7.62,45.48,Safflower
30.57,36.46,34.86,28.71,64.17,8.0,68.96,Toor Dal
100.02,69.69,82.68,25.36,60.48,6.77,84.46,Tomato
24.83,58.21,42.21,25.61,54.76,5.72,70.75,Groundnut
17.39,61.93,34.9,22.53,73.64,6.37,93.93,Soybean
76.47,41.37,108.93,29.74,92.95,5.92,200.49,Arecanut
46.4,44.7,38.23,22.84,55.25,6.81,55.83,Safflower
23.12,57.84,21.26,21.96,59.82,7.2,52.39,Bengalgram
33.82,56.64,33.16,25.66,57.0,6.85,77.3,Soybean
31.01,23.33,38.29,22.68,69.24,5.64,76.3,Ragi
31.45,31.73,82.08,25.48,93.72,6.38,110.68,Coconut
72.75,28.19,95.57,26.77,82.52,5.61,205.25,Arecanut
111.71,86.41,87.96,21.4,62.81,6.72,81.87,Tomato
101.83,80.53,62.85,22.01,85.95,6.26,1329.87,Sugarcane
94.94,64.44,75.96,24.13,80.89,6.46,131.77,Banana
18.98,34.45,86.86,25.25,74.38,6.76,142.04,Coconut
117.62,72.4,78.48,25.81,85.75,6.4,1434.26,Sugarcane
62.05,29.76,87.84,28.61,86.42,5.04,211.56,Arecanut
18.18,42.78,26.62,25.95,66.28,7.76,31.16,Toor Dal
35.32,40.51,34.08,27.41,30.23,6.75,28.96,Safflower
21.52,66.52,32.68,26.54,77.54,5.9,101.76,Soybean
45.23,21.45,41.16,30.36,43.68,7.27,62.55,Jowar
64.22,25.95,50.87,29.15,73.83,6.6,189.67,Turmeric
37.85,72.78,30.54,24.73,84.9,7.45,97.52,Cotton
20.67,70.01,23.3,29.81,66.1,6.33,77.44,Soybean
20.97,36.35,32.52,25.96,50.01,6.82,52.78,Toor Dal
67.37,53.21,68.92,19.43,79.1,6.06,84.24,Onion
88.11,68.02,80.14,27.71,64.7,6.69,106.72,Tomato
28.02,58.12,23.07,25.89,48.59,7.97,62.22,Bengalgram
38.96,30.07,20.81,34.0,61.17,6.74,41.19,Sesame
76.74,23.59,27.51,29.2,55.07,7.22,50.13,Maize
95.97,64.23,45.52,25.28,71.98,6.69,90.33,Wheat
116.65,70.84,80.43,25.43,61.65,6.26,108.78,Tomato
77.94,61.92,65.12,20.63,72.9,6.53,69.84,Onion
29.5,28.07,35.82,23.58,32.18,7.31,34.88,Safflower
33.81,34.96,30.49,29.84,68.44,5.65,81.88,Ragi
72.99,40.18,92.55,26.02,93.1,5.18,234.33,Arecanut
87.93,43.51,37.33,26.7,81.73,5.69,164.51,Rice
51.95,27.23,102.96,29.61,87.87,5.68,175.52,Arecanut
60.74,43.27,88.1,29.49,80.03,5.7,242.72,Arecanut
40.49,18.56,23.76,28.0,54.98,7.44,46.08,Millet
28.81,32.44,115.81,30.27,71.02,6.88,142.02,Coconut
113.81,82.02,75.58,26.61,71.96,5.61,1739.63,Sugarcane
26.86,43.39,32.41,25.27,52.45,6.54,62.14,Groundnut
34.87,37.6,91.59,27.04,73.98,6.32,114.79,Coconut
81.15,78.1,79.54,24.09,70.14,6.18,52.92,Tomato
89.21,58.72,39.78,23.88,73.81,6.5,101.81,Wheat
61.09,20.14,34.6,22.55,74.13,5.91,55.12,Maize
21.33,49.26,48.26,26.74,68.3,6.15,79.3,Groundnut
57.24,34.6,63.64,25.89,94.0,6.1,181.71,Turmeric
63.39,47.89,44.49,22.35,91.37,7.0,250.92,Rice
84.88,81.12,65.99,25.97,62.03,6.09,116.6,Tomato
29.54,34.95,33.33,32.93,57.04,7.48,30.6,Sesame
79.01,48.75,38.98,26.11,83.46,5.92,230.89,Rice
51.59,68.41,44.11,26.33,61.27,6.72,117.24,Cotton
34.34,69.96,30.72,20.36,42.61,7.43,42.1,Bengalgram
25.13,63.8,28.24,26.51,57.13,7.18,31.09,Bengalgram
51.96,29.19,31.03,30.18,47.83,7.5,38.3,Jowar
109.41,87.5,60.32,27.58,74.74,5.87,1443.37,Sugarcane
49.34,33.45,54.52,24.57,84.13,6.11,120.45,Turmeric
55.93,26.54,35.03,28.96,76.85,6.38,76.82,Maize
113.72,66.77,61.27,21.75,65.82,6.15,110.93,Tomato
41.85,34.6,36.67,28.37,61.76,6.88,51.33,Ragi
57.59,30.54,68.26,28.14,79.23,6.01,185.86,Turmeric
110.17,61.94,61.88,22.75,78.32,6.62,107.24,Tomato
114.91,65.55,54.37,25.09,55.23,6.12,82.95,Wheat
35.86,17.12,24.08,25.92,47.78,7.25,57.61,Millet
37.26,18.36,40.9,23.35,61.61,6.48,95.84,Ragi
114.65,109.61,65.48,23.17,71.12,7.14,1339.78,Sugarcane
68.88,28.2,86.37,29.95,86.97,5.99,151.48,Arecanut
116.99,69.8,72.4,27.68,92.49,6.43,198.36,Banana
40.31,20.71,34.72,34.5,57.94,6.72,33.22,Sesame
118.91,84.74,71.54,28.73,90.04,5.89,185.93,Banana
61.52,49.48,33.02,24.17,45.52,6.24,50.89,Sunflower
25.42,37.54,118.1,30.56,86.0,5.96,160.02,Coconut
66.38,44.41,95.04,25.14,81.19,6.34,204.52,Arecanut
86.16,62.82,69.99,23.74,77.29,6.71,93.98,Onion
115.38,67.57,75.33,22.48,65.41,6.18,73.38,Tomato
21.48,35.15,43.72,27.07,61.73,6.42,41.16,Groundnut
105.5,90.96,67.41,26.41,85.33,6.15,1648.63,Sugarcane
50.05,30.12,32.97,25.77,35.69,6.48,62.56,Jowar
27.31,24.82,30.99,33.8,50.86,6.2,50.23,Sesame
109.57,66.53,88.45,27.04,83.53,5.91,190.54,Banana
62.1,25.73,107.03,26.04,87.08,5.44,245.92,Arecanut
60.78,58.23,48.18,25.82,81.15,5.62,281.7,Rice
48.25,56.88,45.06,28.32,71.44,6.88,124.48,Cotton
88.22,60.18,62.79,20.91,63.73,6.18,75.92,Onion
79.07,49.54,26.74,22.75,49.41,7.4,48.07,Sunflower
49.09,31.47,69.02,26.83,90.06,6.18,149.83,Turmeric
117.76,51.08,54.04,22.81,60.22,6.18,90.02,Wheat
28.79,45.42,24.46,28.83,56.86,6.31,57.81,Toor Dal
108.45,86.9,71.46,22.44,82.92,5.78,1780.93,Sugarcane
28.5,71.5,29.65,26.58,66.9,6.78,90.4,Soybean
17.93,38.73,40.63,27.51,57.34,5.79,67.26,Groundnut
34.41,65.6,33.24,23.12,69.68,5.63,72.47,Soybean
39.92,27.46,23.36,26.67,42.47,6.16,36.45,Millet
40.7,49.33,66.69,25.93,75.87,6.88,130.54,Turmeric
104.32,88.35,73.28,29.06,74.17,5.86,1481.09,Sugarcane
54.19,30.08,114.52,28.03,84.91,5.52,205.55,Arecanut
38.19,34.45,33.23,29.76,39.66,7.46,29.03,Safflower
33.83,38.91,86.57,30.17,94.52,6.36,166.73,Coconut
26.95,74.09,23.81,27.68,55.72,6.72,73.34,Soybean
46.28,23.17,37.45,29.64,50.71,6.99,59.77,Jowar
25.96,59.35,37.68,27.07,64.42,6.39,71.37,Groundnut
81.86,51.31,46.97,27.25,58.95,6.02,112.8,Chilli
18.89,62.94,28.29,29.55,77.71,6.04,68.88,Soybean
72.24,39.03,40.58,26.23,51.15,6.98,50.5,Sunflower
48.52,32.9,41.92,24.0,59.05,6.6,56.26,Ragi
24.29,70.84,32.63,22.57,77.34,6.0,61.96,Soybean
75.79,19.58,26.64,27.91,75.29,6.61,81.05,Maize
37.24,22.29,32.7,25.73,62.9,6.71,63.63,Sesame
51.01,47.23,70.59,24.02,78.44,5.94,185.53,Turmeric
63.69,45.59,39.15,20.02,90.42,6.77,189.29,Rice
15.88,58.2,32.82,26.68,57.43,7.89,41.32,Bengalgram
37.6,66.13,42.57,29.81,83.26,6.97,136.39,Cotton
34.47,36.65,26.66,25.56,43.65,6.31,69.31,Sesame
118.85,41.38,48.19,28.88,77.72,6.73,69.61,Chilli
65.65,64.1,56.31,26.25,76.84,6.74,76.2,Onion
38.74,20.72,34.92,33.56,41.9,6.02,29.01,Millet
90.14,56.34,49.3,22.93,89.95,6.59,240.49,Rice
97.11,84.45,87.86,27.81,79.67,5.68,134.49,Banana
26.5,31.51,32.8,34.32,55.0,6.3,32.27,Sesame
29.64,33.25,98.12,30.8,84.86,6.49,121.56,Coconut
25.28,74.16,21.12,22.76,73.82,6.32,112.35,Soybean
69.54,43.43,82.91,27.42,78.18,5.6,195.67,Arecanut
80.01,60.94,61.5,20.09,66.86,6.0,81.15,Tomato
16.1,37.26,113.52,25.98,89.75,6.55,108.94,Coconut
61.52,52.18,27.61,27.94,43.61,6.88,85.61,Sunflower
26.85,55.16,29.86,31.4,45.71,7.4,67.9,Toor Dal
29.27,69.55,22.64,28.32,71.1,6.1,88.55,Soybean
69.61,51.2,59.95,27.44,65.66,6.44,54.12,Onion
19.41,66.77,26.23,29.12,58.62,6.89,87.3,Soybean
30.84,59.02,29.04,26.22,69.22,7.39,67.15,Toor Dal
115.46,63.32,38.9,30.06,70.36,6.68,50.03,Chilli
30.98,40.51,46.09,27.84,64.35,6.97,67.14,Groundnut
26.44,22.14,37.95,26.23,34.07,6.8,50.39,Millet
48.91,31.89,44.76,29.22,34.63,6.14,42.24,Jowar
83.59,49.2,43.15,19.35,65.36,6.49,51.9,Wheat
54.28,26.59,34.9,31.85,44.55,7.68,46.99,Jowar
73.32,29.97,85.96,27.53,89.33,6.27,177.19,Arecanut
110.1,85.75,74.02,23.4,94.41,6.9,1522.05,Sugarcane
65.86,30.19,88.48,27.87,85.36,5.19,160.25,Arecanut
22.59,60.36,21.87,22.9,79.62,5.69,66.62,Soybean
53.08,20.81,32.93,28.06,54.48,6.47,54.5,Jowar
82.45,64.07,52.33,28.61,64.29,6.62,61.02,Chilli
30.09,22.33,28.75,26.29,47.8,6.06,48.3,Safflower
18.09,59.94,43.4,25.21,42.15,5.52,68.85,Groundnut
26.05,62.73,34.29,22.9,59.37,6.68,64.68,Bengalgram
50.72,25.92,72.16,23.99,72.1,5.64,178.14,Turmeric
98.39,57.99,35.32,23.53,66.16,6.0,83.36,Wheat
37.48,28.09,38.7,24.06,64.65,7.43,82.08,Ragi
44.92,25.6,29.57,33.29,44.85,7.06,38.18,Millet
28.2,71.04,33.34,20.46,53.95,7.57,56.41,Bengalgram
100.01,43.33,47.08,25.31,78.0,6.24,82.35,Chilli
74.95,21.54,107.53,24.23,87.17,5.09,235.3,Arecanut
38.34,20.16,40.62,27.69,61.02,7.54,26.32,Jowar
106.57,51.95,36.98,25.3,56.68,6.83,87.43,Chilli
69.27,27.38,55.08,28.92,82.25,5.87,131.31,Turmeric
33.41,31.57,35.65,27.67,48.99,7.13,68.42,Ragi
41.93,32.27,42.54,34.51,30.05,7.31,63.21,Jowar
94.07,55.77,36.3,26.17,79.88,6.43,241.55,Rice
61.27,37.86,75.76,29.94,72.04,5.66,175.94,Turmeric
42.08,76.3,35.22,23.51,81.27,7.18,114.68,Cotton
61.12,37.28,80.72,28.93,82.68,6.49,208.08,Arecanut
48.0,20.7,43.65,27.74,52.91,6.5,41.73,Jowar
92.06,58.79,36.32,23.42,63.98,6.44,76.7,Wheat
65.01,42.78,75.2,26.48,82.25,6.68,174.83,Turmeric
32.68,41.75,32.97,21.47,56.29,7.49,29.62,Safflower
62.87,35.38,50.44,28.64,85.12,5.73,178.87,Turmeric
45.24,23.38,40.32,29.07,40.47,5.91,55.04,Ragi
21.89,37.23,30.16,32.88,52.13,5.69,51.77,Groundnut
24.63,50.68,47.84,28.83,50.05,6.68,56.56,Groundnut
31.27,27.22,23.71,25.59,35.48,7.14,34.08,Millet
17.4,56.41,32.6,29.91,67.0,6.35,78.69,Groundnut
35.92,23.47,28.84,23.13,58.05,7.43,38.74,Safflower
55.7,33.82,39.27,27.2,74.78,5.78,60.08,Maize
96.04,67.64,46.68,18.29,55.49,6.3,110.42,Wheat
42.66,20.55,43.62,33.57,49.35,7.83,58.33,Jowar
18.77,58.7,33.61,27.82,50.71,7.45,35.25,Toor Dal
29.91,40.95,34.7,26.18,67.13,6.18,58.36,Toor Dal
95.98,90.1,57.73,22.4,88.29,6.29,1511.93,Sugarcane
38.13,24.18,22.93,20.94,39.14,7.47,38.1,Safflower
44.37,33.41,42.46,27.89,41.87,5.78,60.37,Ragi
72.7,30.18,86.82,28.34,93.54,5.91,200.59,Arecanut
116.43,45.5,46.37,21.15,73.64,6.36,110.94,Wheat
29.85,55.88,35.99,30.52,49.47,6.3,48.33,Groundnut
104.26,66.19,91.1,28.81,87.47,6.07,183.05,Banana
35.42,70.2,38.37,27.13,78.55,7.13,115.14,Cotton
80.45,56.8,93.64,24.9,86.65,6.38,120.71,Banana
101.6,68.64,41.55,25.15,60.75,6.31,71.21,Chilli
52.15,25.5,25.01,34.58,37.08,7.38,30.94,Jowar
66.6,46.68,36.91,24.36,75.54,6.29,234.66,Rice
34.97,67.29,19.79,25.5,71.46,5.63,68.6,Soybean
16.05,36.32,80.15,27.49,94.69,6.9,164.87,Coconut
56.94,38.4,34.58,26.08,59.32,6.46,53.46,Sunflower
99.21,77.9,83.85,25.34,83.45,6.08,57.51,Tomato
87.64,42.59,78.9,26.15,77.19,6.29,78.51,Onion
96.29,70.26,88.29,25.75,73.81,6.49,68.67,Tomato
59.49,77.48,44.06,24.19,88.91,7.46,107.17,Cotton
62.47,64.99,66.06,18.41,68.7,6.67,63.69,Onion
58.99,35.78,58.24,29.77,87.22,5.87,186.05,Turmeric
30.53,21.01,26.22,29.59,66.39,7.32,81.3,Ragi
31.54,25.26,34.95,22.79,69.44,6.44,91.99,Ragi
32.91,23.76,29.17,21.47,55.93,6.23,58.8,Safflower
84.18,46.07,67.37,23.91,71.64,6.1,89.05,Onion
52.31,44.23,41.27,23.2,45.47,7.12,77.41,Sunflower
21.87,76.49,27.29,29.62,55.79,6.15,114.9,Soybean
44.44,24.72,25.77,25.24,55.41,6.5,33.48,Millet
31.87,38.84,28.01,25.56,39.4,7.22,35.73,Safflower
68.57,27.38,86.83,27.43,86.74,6.1,190.76,Arecanut
53.05,34.98,75.02,24.02,79.33,6.01,174.28,Turmeric
29.07,20.0,25.47,33.69,36.77,6.01,38.2,Millet
25.4,20.39,22.57,31.22,32.23,6.38,38.36,Millet
70.96,37.49,33.23,24.7,63.44,7.04,54.34,Sunflower
41.11,40.71,36.03,25.78,33.87,7.27,59.09,Safflower
17.61,58.01,19.92,27.88,46.15,6.52,42.57,Toor Dal
63.11,45.84,64.53,23.63,75.34,6.77,55.98,Onion
62.78,40.66,114.99,27.24,91.92,6.27,167.72,Arecanut
97.56,38.36,36.73,20.75,86.06,6.04,240.72,Rice
33.9,77.11,21.82,27.58,62.69,7.47,55.07,Bengalgram
99.14,78.44,61.26,23.93,60.79,6.32,52.17,Tomato
28.81,64.87,23.15,21.0,35.42,6.67,30.64,Bengalgram
35.15,16.08,22.73,29.69,34.64,6.28,25.45,Millet
106.53,60.04,41.85,27.19,56.58,6.55,94.96,Chilli
18.25,36.84,32.38,27.06,52.97,7.9,32.97,Toor Dal
84.6,41.82,44.3,21.26,62.1,6.61,66.36,Wheat
75.72,30.56,36.65,26.21,71.15,6.35,65.33,Maize
20.69,74.62,30.15,25.38,56.43,7.28,39.91,Bengalgram
106.42,68.2,91.68,26.14,73.56,6.87,127.46,Banana
66.09,43.77,60.33,26.41,64.07,6.91,79.17,Onion
29.68,49.74,20.87,27.57,61.26,6.07,65.06,Toor Dal
31.97,65.98,25.07,26.15,42.36,7.71,43.65,Bengalgram
44.15,30.62,40.32,30.5,33.96,6.23,59.88,Jowar
17.62,62.33,30.09,27.68,59.99,7.51,59.38,Bengalgram
44.68,27.25,20.03,25.7,50.89,6.79,47.91,Millet
26.33,20.89,25.32,20.66,33.03,6.45,44.81,Safflower
27.09,21.73,28.1,22.98,51.37,7.74,40.99,Safflower
54.37,22.95,38.9,29.91,50.16,6.48,41.92,Jowar
29.49,30.07,28.62,30.48,52.54,6.97,63.9,Sesame
30.43,32.27,26.13,26.03,48.68,7.13,86.58,Ragi
95.84,49.18,52.77,22.57,73.39,6.56,88.54,Wheat
110.65,95.23,51.73,24.33,79.95,6.11,1779.33,Sugarcane
26.13,21.89,26.28,29.95,68.04,5.64,96.69,Ragi
42.14,34.99,20.05,25.67,56.73,5.92,37.12,Sesame
28.34,18.06,39.95,26.85,52.48,6.6,73.54,Ragi
35.01,34.33,80.11,28.38,90.61,6.25,121.11,Coconut
68.96,43.12,73.57,22.54,56.76,6.98,95.53,Onion
34.05,17.84,24.14,30.42,58.17,6.18,32.48,Millet
39.64,30.42,32.47,27.95,43.29,6.91,63.79,Sesame
30.74,26.28,21.22,29.21,69.5,6.65,55.31,Sesame
32.34,15.88,28.99,22.34,68.0,6.53,99.46,Ragi
15.86,37.95,46.14,30.01,53.75,6.52,74.97,Groundnut
42.69,31.12,43.29,26.5,69.03,6.61,56.7,Ragi
42.52,36.08,58.27,23.59,82.64,5.76,179.75,Turmeric
37.01,30.79,36.79,28.84,63.71,6.63,31.29,Jowar
100.13,95.54,56.96,29.1,91.59,5.94,1279.05,Sugarcane
38.33,62.38,42.5,27.99,68.97,7.05,131.64,Cotton
96.7,79.78,74.55,28.38,76.38,6.87,120.05,Banana
37.57,62.37,38.93,22.0,62.73,6.91,117.14,Cotton
80.34,53.88,53.72,21.56,55.54,6.03,69.68,Wheat
44.65,39.26,33.19,22.75,58.05,7.25,45.54,Safflower
23.22,48.65,37.34,32.8,57.04,6.56,44.53,Groundnut
111.55,63.39,40.39,31.33,66.8,7.28,71.25,Chilli
46.14,21.39,31.95,22.52,56.27,7.28,92.57,Ragi
99.29,97.5,62.57,27.51,81.92,6.5,1623.3,Sugarcane
31.8,35.39,116.24,26.43,74.1,5.65,193.17,Coconut
20.46,77.27,27.96,24.67,64.15,7.29,52.83,Bengalgram
36.44,33.92,110.36,28.73,82.33,6.15,156.24,Coconut
54.76,26.07,96.79,28.3,79.21,6.09,202.83,Arecanut
88.28,72.99,81.03,26.39,85.11,6.12,150.08,Banana
27.55,62.33,34.48,26.33,58.3,6.02,86.63,Soybean
68.34,62.53,75.42,22.88,70.0,6.63,69.77,Onion
89.2,40.03,39.68,26.97,88.0,6.38,227.64,Rice
37.61,30.29,30.59,29.91,60.41,5.74,98.75,Ragi
81.93,59.68,73.97,30.89,90.86,6.36,142.34,Banana
58.66,33.67,80.65,24.95,92.3,5.06,183.09,Arecanut
32.43,36.45,26.24,31.42,66.28,5.79,43.06,Sesame
43.9,35.38,26.05,22.43,45.37,6.25,41.73,Safflower
54.1,24.74,40.47,25.3,39.57,7.99,47.08,Jowar
31.34,15.32,40.77,24.76,61.99,6.76,88.58,Ragi
111.43,67.8,36.97,18.57,50.96,6.3,63.77,Wheat
